Sat Feb 10 04:07:42 2024    profile_result.prof

         475501 function calls (461770 primitive calls) in 1.836 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.096    0.096 C:\Python311\Lib\site-packages\qtconsole\rich_jupyter_widget.py:67(__init__)
        1    0.000    0.000    0.095    0.095 C:\Python311\Lib\site-packages\qtconsole\jupyter_widget.py:114(__init__)
        1    0.000    0.000    0.095    0.095 C:\Python311\Lib\site-packages\qtconsole\frontend_widget.py:168(__init__)
        1    0.000    0.000    0.092    0.092 c:\Users\Administrator\Desktop\Structural_simulator-master\lib\Widgets\flowWidgets.py:469(__init__)
    97/71    0.000    0.000    0.089    0.001 <frozen importlib._bootstrap>:1209(_handle_fromlist)
        1    0.000    0.000    0.087    0.087 C:\Python311\Lib\site-packages\setuptools\dist.py:1(<module>)
        1    0.000    0.000    0.087    0.087 C:\Python311\Lib\site-packages\qtconsole\frontend_widget.py:141(_lexer_default)
        1    0.000    0.000    0.087    0.087 C:\Python311\Lib\site-packages\pygments\lexer.py:572(__call__)
        1    0.000    0.000    0.086    0.086 C:\Python311\Lib\site-packages\pygments\lexer.py:515(process_tokendef)
    88/33    0.001    0.000    0.086    0.003 C:\Python311\Lib\site-packages\pygments\lexer.py:471(_process_state)
      110    0.000    0.000    0.086    0.001 C:\Python311\Lib\site-packages\pygments\lexer.py:424(_process_regex)
        4    0.067    0.017    0.067    0.017 {built-in method setSortingEnabled}
        1    0.000    0.000    0.062    0.062 C:\Python311\Lib\site-packages\setuptools\config\__init__.py:1(<module>)
        1    0.000    0.000    0.061    0.061 C:\Python311\Lib\site-packages\ipykernel\inprocess\manager.py:44(start_kernel)
        1    0.000    0.000    0.061    0.061 C:\Python311\Lib\site-packages\setuptools\config\setupcfg.py:1(<module>)
        1    0.000    0.000    0.060    0.060 C:\Python311\Lib\site-packages\ipykernel\inprocess\ipkernel.py:71(__init__)
        1    0.000    0.000    0.060    0.060 C:\Python311\Lib\site-packages\ipykernel\ipkernel.py:68(__init__)
        1    0.000    0.000    0.059    0.059 c:\Users\Administrator\Desktop\Structural_simulator-master\lib\functions\Resource.py:646(mode_1)
        1    0.000    0.000    0.057    0.057 C:\Python311\Lib\site-packages\setuptools\_vendor\packaging\requirements.py:1(<module>)
      115    0.001    0.000    0.055    0.000 C:\Python311\Lib\re\_parser.py:970(parse)
  480/115    0.004    0.000    0.054    0.000 C:\Python311\Lib\re\_parser.py:447(_parse_sub)
        1    0.000    0.000    0.053    0.053 c:\Users\Administrator\Desktop\Structural_simulator-master\main.py:342(showStartWindow)
       12    0.003    0.000    0.053    0.004 c:\Users\Administrator\Desktop\Structural_simulator-master\lib\Widgets\dockWidget.py:161(MakeChooseButton)
 1004/126    0.023    0.000    0.053    0.000 C:\Python311\Lib\re\_parser.py:507(_parse)
     1614    0.052    0.000    0.052    0.000 {built-in method nt.stat}
        7    0.051    0.007    0.051    0.007 {built-in method index}
        1    0.000    0.000    0.048    0.048 C:\Users\Administrator\AppData\Roaming\Python\Python311\site-packages\traitlets\config\configurable.py:521(instance)
        1    0.000    0.000    0.048    0.048 C:\Python311\Lib\site-packages\IPython\core\interactiveshell.py:583(__init__)
        1    0.001    0.001    0.048    0.048 c:\Users\Administrator\Desktop\Structural_simulator-master\lib\Widgets\Editor.py:270(prepare_auto_completion)
  122/104    0.000    0.000    0.046    0.000 <frozen importlib._bootstrap>:566(module_from_spec)
        1    0.013    0.013    0.046    0.046 c:\Users\Administrator\Desktop\Structural_simulator-master\lib\functions\Resource.py:341(MakeSplitter)
        1    0.000    0.000    0.045    0.045 c:\Users\Administrator\Desktop\Structural_simulator-master\main.py:542(setWindowStyle_mica)
       87    0.000    0.000    0.045    0.001 c:\Users\Administrator\Desktop\Structural_simulator-master\lib\Widgets\flowWidgets.py:17(get_file_type)
       87    0.000    0.000    0.044    0.001 C:\Python311\Lib\mimetypes.py:287(guess_type)
        1    0.000    0.000    0.042    0.042 C:\Python311\Lib\mimetypes.py:360(init)
        5    0.000    0.000    0.042    0.008 C:\Python311\Lib\site-packages\setuptools\extern\__init__.py:51(create_module)
        5    0.000    0.000    0.042    0.008 C:\Python311\Lib\site-packages\setuptools\extern\__init__.py:29(load_module)
        1    0.000    0.000    0.042    0.042 C:\Python311\Lib\mimetypes.py:235(read_windows_registry)
        1    0.041    0.041    0.042    0.042 {built-in method _winapi._mimetypes_read_windows_registry}
      115    0.000    0.000    0.041    0.000 C:\Python311\Lib\re\_compiler.py:571(_code)
      142    0.000    0.000    0.040    0.000 C:\Python311\Lib\inspect.py:3270(signature)
      142    0.000    0.000    0.040    0.000 C:\Python311\Lib\inspect.py:3016(from_callable)
      142    0.001    0.000    0.040    0.000 C:\Python311\Lib\inspect.py:2422(_signature_from_callable)
      141    0.001    0.000    0.037    0.000 C:\Python311\Lib\inspect.py:2311(_signature_from_builtin)
  547/522    0.009    0.000    0.037    0.000 {built-in method builtins.__build_class__}
        1    0.000    0.000    0.036    0.036 C:\Python311\Lib\site-packages\ipykernel\inprocess\manager.py:72(client)
        1    0.000    0.000    0.036    0.036 C:\Users\Administrator\AppData\Roaming\Python\Python311\site-packages\jupyter_client\manager.py:248(client)
        1    0.000    0.000    0.036    0.036 C:\Python311\Lib\site-packages\setuptools\_vendor\pyparsing\__init__.py:1(<module>)
      132    0.002    0.000    0.036    0.000 C:\Python311\Lib\inspect.py:2177(_signature_fromstr)
    24552    0.022    0.000    0.036    0.000 c:\Users\Administrator\Desktop\Structural_simulator-master\main.py:371(eventFilter)
        1    0.000    0.000    0.035    0.035 C:\Users\Administrator\AppData\Roaming\Python\Python311\site-packages\jupyter_client\connect.py:381(get_connection_info)
        1    0.000    0.000    0.034    0.034 C:\Users\Administrator\AppData\Roaming\Python\Python311\site-packages\jupyter_client\connect.py:340(_ip_default)
        1    0.000    0.000    0.034    0.034 C:\Users\Administrator\AppData\Roaming\Python\Python311\site-packages\jupyter_client\localinterfaces.py:64(ips_loaded)
        1    0.000    0.000    0.034    0.034 C:\Users\Administrator\AppData\Roaming\Python\Python311\site-packages\jupyter_client\localinterfaces.py:51(wrapped)
        1    0.000    0.000    0.034    0.034 C:\Users\Administrator\AppData\Roaming\Python\Python311\site-packages\jupyter_client\localinterfaces.py:222(_load_ips)
 1201/115    0.008    0.000    0.033    0.000 C:\Python311\Lib\re\_compiler.py:37(_compile)
        1    0.000    0.000    0.033    0.033 C:\Users\Administrator\AppData\Roaming\Python\Python311\site-packages\jupyter_client\localinterfaces.py:139(_load_ips_ipconfig)
        1    0.000    0.000    0.033    0.033 C:\Users\Administrator\AppData\Roaming\Python\Python311\site-packages\jupyter_client\localinterfaces.py:33(_get_output)
        2    0.031    0.015    0.031    0.015 {built-in method processEvents}
      947    0.001    0.000    0.030    0.000 C:\Python311\Lib\genericpath.py:39(isdir)
        3    0.029    0.010    0.029    0.010 {built-in method winId}
      115    0.002    0.000    0.028    0.000 <frozen importlib._bootstrap_external>:1007(get_code)
       39    0.028    0.001    0.028    0.001 {method 'acquire' of '_thread.lock' objects}
      235    0.025    0.000    0.026    0.000 C:\Python311\Lib\re\_compiler.py:241(_optimize_charset)
      125    0.000    0.000    0.026    0.000 <frozen importlib._bootstrap_external>:1496(find_spec)
      125    0.001    0.000    0.025    0.000 <frozen importlib._bootstrap_external>:1464(_get_spec)
        1    0.000    0.000    0.024    0.024 C:\Python311\Lib\subprocess.py:1161(communicate)
        1    0.000    0.000    0.024    0.024 C:\Python311\Lib\subprocess.py:1554(_communicate)
      176    0.003    0.000    0.023    0.000 <frozen importlib._bootstrap_external>:1604(find_spec)
        1    0.000    0.000    0.023    0.023 C:\Python311\Lib\site-packages\ipykernel\zmqshell.py:593(init_magics)
      132    0.003    0.000    0.023    0.000 C:\Python311\Lib\inspect.py:2105(_signature_strip_non_python_syntax)
        1    0.000    0.000    0.023    0.023 C:\Python311\Lib\site-packages\IPython\core\interactiveshell.py:2344(init_magics)
        1    0.000    0.000    0.022    0.022 C:\Python311\Lib\site-packages\_distutils_hack\override.py:1(<module>)
        1    0.000    0.000    0.022    0.022 C:\Python311\Lib\site-packages\_distutils_hack\__init__.py:68(do_override)
        1    0.000    0.000    0.022    0.022 C:\Python311\Lib\site-packages\_distutils_hack\__init__.py:51(ensure_local_distutils)
        3    0.000    0.000    0.022    0.007 C:\Python311\Lib\site-packages\IPython\core\magic.py:426(register)
        1    0.004    0.004    0.021    0.021 c:\Users\Administrator\Desktop\Structural_simulator-master\lib\functions\Viewer.py:191(set_top_widget)
        2    0.000    0.000    0.021    0.010 C:\Python311\Lib\threading.py:1080(join)
        6    0.000    0.000    0.021    0.003 C:\Python311\Lib\threading.py:1118(_wait_for_tstate_lock)
      104    0.001    0.000    0.020    0.000 c:\Users\Administrator\Desktop\Structural_simulator-master\lib\Widgets\flowWidgets.py:77(minimumSize)
        1    0.000    0.000    0.019    0.019 C:\Python311\Lib\site-packages\setuptools\_distutils\core.py:1(<module>)
       56    0.001    0.000    0.018    0.000 C:\Users\Administrator\AppData\Roaming\Python\Python311\site-packages\traitlets\config\configurable.py:50(__init__)
     1073    0.018    0.000    0.018    0.000 {built-in method minimumSize}
  242/240    0.000    0.000    0.018    0.000 C:\Users\Administrator\AppData\Roaming\Python\Python311\site-packages\traitlets\traitlets.py:723(__set__)
  292/290    0.001    0.000    0.018    0.000 C:\Users\Administrator\AppData\Roaming\Python\Python311\site-packages\traitlets\traitlets.py:705(set)
     2123    0.006    0.000    0.017    0.000 C:\Python311\Lib\tokenize.py:433(_tokenize)
  286/277    0.001    0.000    0.016    0.000 C:\Users\Administrator\AppData\Roaming\Python\Python311\site-packages\traitlets\traitlets.py:1519(_notify_observers)
        1    0.000    0.000    0.016    0.016 C:\Python311\Lib\site-packages\IPython\core\magics\script.py:127(__init__)
  214/206    0.000    0.000    0.016    0.000 C:\Users\Administrator\AppData\Roaming\Python\Python311\site-packages\traitlets\traitlets.py:1515(notify_change)
      466    0.000    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
        2    0.016    0.008    0.016    0.008 {method 'Render' of 'vtkmodules.vtkRenderingCore.vtkRenderWindowInteractor' objects}
        1    0.004    0.004    0.016    0.016 c:\Users\Administrator\Desktop\Structural_simulator-master\lib\functions\Simulator.py:151(set_top_widget)
        1    0.000    0.000    0.016    0.016 C:\Python311\Lib\site-packages\IPython\core\magics\script.py:136(_generate_script_magics)
        9    0.000    0.000    0.016    0.002 C:\Python311\Lib\site-packages\IPython\core\magics\script.py:141(_make_script_magic)
        9    0.000    0.000    0.016    0.002 C:\Python311\Lib\site-packages\IPython\core\magic_arguments.py:233(__call__)
        9    0.000    0.000    0.016    0.002 C:\Python311\Lib\site-packages\IPython\core\magic_arguments.py:171(construct_parser)
  207/206    0.000    0.000    0.016    0.000 C:\Users\Administrator\AppData\Roaming\Python\Python311\site-packages\traitlets\traitlets.py:1504(_notify_trait)
        5    0.000    0.000    0.014    0.003 c:\Users\Administrator\Desktop\Structural_simulator-master\lib\Widgets\panel.py:14(__init__)
        5    0.001    0.000    0.014    0.003 c:\Users\Administrator\Desktop\Structural_simulator-master\lib\Widgets\panel.py:25(UIinit)
        1    0.000    0.000    0.014    0.014 C:\Python311\Lib\site-packages\qtconsole\kernel_mixins.py:44(start_channels)
        1    0.009    0.009    0.014    0.014 c:\Users\Administrator\Desktop\Structural_simulator-master\main.py:708(makeTopMenu)
        1    0.000    0.000    0.014    0.014 C:\Python311\Lib\site-packages\setuptools\_vendor\pyparsing\core.py:1(<module>)
        5    0.000    0.000    0.013    0.003 {method 'emit' of 'PyQt5.QtCore.pyqtBoundSignal' objects}
        1    0.000    0.000    0.013    0.013 C:\Python311\Lib\site-packages\qtconsole\jupyter_widget.py:320(_started_channels)
        2    0.000    0.000    0.013    0.007 C:\Python311\Lib\site-packages\ipykernel\inprocess\client.py:168(_dispatch_to_kernel)
        2    0.001    0.000    0.013    0.006 c:\Users\Administrator\Desktop\Structural_simulator-master\lib\Widgets\vtkWidgets.py:93(__init__)
        2    0.013    0.006    0.013    0.006 {method 'Initialize' of 'vtkmodules.vtkRenderingCore.vtkRenderWindowInteractor' objects}
        1    0.000    0.000    0.013    0.013 C:\Python311\Lib\site-packages\setuptools\monkey.py:63(patch_all)
        1    0.000    0.000    0.013    0.013 C:\Python311\Lib\site-packages\setuptools\monkey.py:128(patch_for_msvc_specialized_compiler)
        1    0.009    0.009    0.012    0.012 c:\Users\Administrator\Desktop\Structural_simulator-master\lib\functions\Viewer.py:1294(Add3DLine)
    33/32    0.000    0.000    0.012    0.000 C:\Users\Administrator\AppData\Roaming\Python\Python311\site-packages\traitlets\traitlets.py:1230(__call__)
        2    0.000    0.000    0.011    0.006 C:\Python311\Lib\site-packages\setuptools\monkey.py:140(patch_params)
        5    0.000    0.000    0.011    0.002 c:\Users\Administrator\Desktop\Structural_simulator-master\lib\Widgets\panel.py:122(makeUI)
2213/1935    0.002    0.000    0.011    0.000 {method 'join' of 'str' objects}
    10273    0.007    0.000    0.011    0.000 C:\Python311\Lib\re\_parser.py:252(get)
        1    0.000    0.000    0.011    0.011 C:\Python311\Lib\site-packages\setuptools\_vendor\packaging\markers.py:1(<module>)
      115    0.001    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:727(_compile_bytecode)
       48    0.000    0.000    0.011    0.000 C:\Users\Administrator\AppData\Roaming\Python\Python311\site-packages\traitlets\traitlets.py:1129(compatible_observer)
       48    0.000    0.000    0.011    0.000 C:\Users\Administrator\AppData\Roaming\Python\Python311\site-packages\traitlets\config\configurable.py:202(_config_changed)
        1    0.000    0.000    0.011    0.011 C:\Python311\Lib\site-packages\setuptools\_distutils\_msvccompiler.py:1(<module>)
        1    0.008    0.008    0.011    0.011 c:\Users\Administrator\Desktop\Structural_simulator-master\lib\functions\Simulator.py:895(Add3DLine)
      726    0.010    0.000    0.010    0.000 {method 'connect' of 'PyQt5.QtCore.pyqtBoundSignal' objects}
        1    0.000    0.000    0.010    0.010 C:\Python311\Lib\site-packages\ipykernel\inprocess\ipkernel.py:65(_default_iopub_socket)
        1    0.000    0.000    0.010    0.010 C:\Python311\Lib\site-packages\ipykernel\inprocess\ipkernel.py:57(_default_iopub_thread)
      115    0.010    0.000    0.010    0.000 {built-in method marshal.loads}
        2    0.000    0.000    0.010    0.005 C:\Python311\Lib\asyncio\base_events.py:614(run_until_complete)
       55    0.000    0.000    0.010    0.000 C:\Users\Administrator\AppData\Roaming\Python\Python311\site-packages\traitlets\config\configurable.py:156(_load_config)
        1    0.000    0.000    0.010    0.010 C:\Python311\Lib\site-packages\ipykernel\iostream.py:51(__init__)
    35317    0.010    0.000    0.010    0.000 {built-in method type}
        2    0.000    0.000    0.010    0.005 C:\Python311\Lib\asyncio\windows_events.py:317(run_forever)
        2    0.001    0.001    0.010    0.005 C:\Python311\Lib\site-packages\vtkmodules\qt\QVTKRenderWindowInteractor.py:323(__init__)
        2    0.000    0.000    0.010    0.005 C:\Python311\Lib\asyncio\base_events.py:591(run_forever)
        5    0.004    0.001    0.010    0.002 c:\Users\Administrator\Desktop\Structural_simulator-master\lib\Widgets\flowWidgets.py:583(setRootPath)
        1    0.000    0.000    0.010    0.010 c:\Users\Administrator\Desktop\Structural_simulator-master\lib\functions\Console.py:7(__init__)
        4    0.000    0.000    0.010    0.002 C:\Python311\Lib\asyncio\base_events.py:1834(_run_once)
  515/492    0.001    0.000    0.009    0.000 C:\Python311\Lib\typing.py:357(inner)
        1    0.001    0.001    0.009    0.009 c:\Users\Administrator\Desktop\Structural_simulator-master\lib\functions\Viewer.py:900(selectionchange)
        7    0.000    0.000    0.009    0.001 C:\Python311\Lib\asyncio\events.py:78(_run)
        7    0.000    0.000    0.009    0.001 {method 'run' of '_contextvars.Context' objects}
        1    0.000    0.000    0.009    0.009 c:\Users\Administrator\Desktop\Structural_simulator-master\lib\Widgets\terminal.py:8(__init__)
        1    0.000    0.000    0.009    0.009 C:\Python311\Lib\tokenize.py:99(_compile)
     1026    0.004    0.000    0.009    0.000 C:\Python311\Lib\ntpath.py:103(join)
