Sat Feb 10 04:07:42 2024    profile_result.prof

         475501 function calls (461770 primitive calls) in 1.836 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      400    0.000    0.000    0.002    0.000 C:\Users\Administrator\AppData\Roaming\Python\Python311\site-packages\traitlets\config\configurable.py:122(section_names)
        1    0.000    0.000    0.002    0.002 c:\Users\Administrator\Desktop\Structural_simulator-master\lib\functions\Object.py:5(__init__)
        1    0.000    0.000    0.002    0.002 C:\Users\Administrator\AppData\Roaming\Python\Python311\site-packages\tornado\util.py:326(configured_class)
        1    0.000    0.000    0.002    0.002 C:\Python311\Lib\site-packages\setuptools\_vendor\more_itertools\__init__.py:1(<module>)
        1    0.000    0.000    0.002    0.002 C:\Users\Administrator\AppData\Roaming\Python\Python311\site-packages\tornado\ioloop.py:341(configurable_default)
    383/1    0.000    0.000    0.002    0.002 C:\Python311\Lib\site-packages\ipykernel\jsonutil.py:71(json_clean)
        1    0.000    0.000    0.002    0.002 C:\Python311\Lib\site-packages\setuptools\_vendor\packaging\version.py:1(<module>)
     44/8    0.000    0.000    0.002    0.000 C:\Users\Administrator\AppData\Roaming\Python\Python311\site-packages\jupyter_client\jsonutil.py:70(extract_dates)
     96/1    0.000    0.000    0.002    0.002 C:\Python311\Lib\site-packages\ipykernel\jsonutil.py:128(<listcomp>)
        1    0.000    0.000    0.002    0.002 C:\Python311\Lib\site-packages\setuptools\_distutils\util.py:1(<module>)
        5    0.000    0.000    0.002    0.000 C:\Python311\Lib\site-packages\IPython\core\prefilter.py:533(__init__)
        1    0.000    0.000    0.002    0.002 C:\Python311\Lib\site-packages\setuptools\config\expand.py:1(<module>)
        1    0.000    0.000    0.002    0.002 C:\Python311\Lib\site-packages\pkg_resources\__init__.py:3100(__init__)
        3    0.002    0.001    0.002    0.001 {built-in method setSizes}
        1    0.000    0.000    0.002    0.002 C:\Python311\Lib\site-packages\IPython\core\interactiveshell.py:695(init_profile_dir)
       80    0.000    0.000    0.002    0.000 C:\Python311\Lib\site-packages\setuptools\_vendor\pyparsing\core.py:3783(__init__)
        1    0.001    0.001    0.002    0.002 c:\Users\Administrator\Desktop\Structural_simulator-master\lib\Widgets\minecraftBlockListWidgets.py:126(__init__)
       44    0.000    0.000    0.002    0.000 C:\Python311\Lib\typing.py:1530(__getitem__)
       45    0.001    0.000    0.002    0.000 C:\Python311\Lib\textwrap.py:238(_wrap_chunks)
  368/365    0.001    0.000    0.002    0.000 C:\Users\Administrator\AppData\Roaming\Python\Python311\site-packages\traitlets\traitlets.py:734(_validate)
     1199    0.001    0.000    0.002    0.000 C:\Python311\Lib\typing.py:1280(__setattr__)
       36    0.000    0.000    0.002    0.000 C:\Users\Administrator\AppData\Roaming\Python\Python311\site-packages\jupyter_client\jsonutil.py:54(parse_date)
        1    0.000    0.000    0.002    0.002 C:\Python311\Lib\site-packages\IPython\core\profiledir.py:166(create_profile_dir_by_name)
       11    0.001    0.000    0.002    0.000 C:\Users\Administrator\AppData\Roaming\Python\Python311\site-packages\traitlets\traitlets.py:276(getmembers)
        6    0.000    0.000    0.002    0.000 C:\Users\Administrator\AppData\Roaming\Python\Python311\site-packages\dateutil\parser\_parser.py:1270(parse)
       54    0.000    0.000    0.002    0.000 C:\Python311\Lib\shutil.py:1386(get_terminal_size)
       52    0.001    0.000    0.002    0.000 c:\Users\Administrator\Desktop\Structural_simulator-master\lib\Widgets\menu.py:13(__init__)
      131    0.001    0.000    0.002    0.000 C:\Python311\Lib\inspect.py:3224(__str__)
        6    0.000    0.000    0.002    0.000 C:\Users\Administrator\AppData\Roaming\Python\Python311\site-packages\dateutil\parser\_parser.py:572(parse)
      4/3    0.000    0.000    0.002    0.001 C:\Python311\Lib\site-packages\setuptools\_vendor\pyparsing\core.py:4779(parseImpl)
      155    0.002    0.000    0.002    0.000 {built-in method builtins.compile}
       69    0.000    0.000    0.002    0.000 C:\Python311\Lib\typing.py:1539(copy_with)
      185    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1421(_path_importer_cache)
        1    0.000    0.000    0.002    0.002 C:\Python311\Lib\site-packages\setuptools\_vendor\jaraco\text\__init__.py:1(<module>)
      243    0.002    0.000    0.002    0.000 {built-in method setText}
       87    0.001    0.000    0.002    0.000 C:\Python311\Lib\mimetypes.py:103(guess_type)
       25    0.000    0.000    0.002    0.000 C:\Python311\Lib\site-packages\setuptools\_vendor\pyparsing\core.py:595(set_parse_action)
        1    0.000    0.000    0.002    0.002 C:\Python311\Lib\site-packages\pygments\formatter.py:65(__init__)
        1    0.000    0.000    0.002    0.002 C:\Python311\Lib\site-packages\pkg_resources\_vendor\packaging\requirements.py:100(__init__)
        1    0.000    0.000    0.002    0.002 C:\Python311\Lib\site-packages\setuptools\_vendor\pyparsing\core.py:5798(<listcomp>)
      132    0.000    0.000    0.002    0.000 C:\Python311\Lib\ast.py:33(parse)
        1    0.000    0.000    0.002    0.002 C:\Python311\Lib\site-packages\pygments\formatter.py:19(_lookup_style)
        2    0.000    0.000    0.002    0.001 C:\Python311\Lib\site-packages\IPython\core\history.py:67(catch_corrupt_db)
      341    0.002    0.000    0.002    0.000 {method 'copy' of 'dict' objects}
      400    0.001    0.000    0.002    0.000 C:\Users\Administrator\AppData\Roaming\Python\Python311\site-packages\traitlets\config\configurable.py:125(<listcomp>)
       16    0.000    0.000    0.002    0.000 C:\Python311\Lib\site-packages\setuptools\_vendor\pyparsing\core.py:2791(_generateDefaultName)
      132    0.000    0.000    0.002    0.000 C:\Python311\Lib\tokenize.py:408(tokenize)
        4    0.000    0.000    0.002    0.000 C:\Python311\Lib\site-packages\ipykernel\iostream.py:271(send_multipart)
        3    0.000    0.000    0.002    0.001 C:\Python311\Lib\socket.py:615(socketpair)
        4    0.000    0.000    0.002    0.000 C:\Python311\Lib\site-packages\ipykernel\iostream.py:218(send_multipart)
        4    0.000    0.000    0.002    0.000 C:\Python311\Lib\site-packages\ipykernel\iostream.py:206(schedule)
      763    0.001    0.000    0.002    0.000 C:\Python311\Lib\enum.py:669(__call__)
       21    0.000    0.000    0.002    0.000 C:\Python311\Lib\site-packages\setuptools\_vendor\pyparsing\core.py:2792(charsAsStr)
        3    0.000    0.000    0.002    0.001 C:\Python311\Lib\traceback.py:220(extract_stack)
       15    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1408(_path_hooks)
     2204    0.002    0.000    0.002    0.000 {method 'match' of 're.Pattern' objects}
        1    0.000    0.000    0.002    0.002 C:\Python311\Lib\site-packages\IPython\core\history.py:196(__init__)
        2    0.000    0.000    0.002    0.001 C:\Python311\Lib\asyncio\events.py:689(new_event_loop)
        1    0.001    0.001    0.002    0.002 c:\Users\Administrator\Desktop\Structural_simulator-master\lib\Widgets\startPanel.py:148(initTopWidget)
        1    0.000    0.000    0.002    0.002 C:\Python311\Lib\site-packages\setuptools\_distutils\archive_util.py:1(<module>)
       25    0.000    0.000    0.002    0.000 C:\Python311\Lib\site-packages\setuptools\_vendor\pyparsing\core.py:675(<listcomp>)
        1    0.000    0.000    0.002    0.002 C:\Python311\Lib\site-packages\qtconsole\console_widget.py:868(reset_font)
        2    0.000    0.000    0.002    0.001 C:\Python311\Lib\asyncio\windows_events.py:312(__init__)
        1    0.000    0.000    0.002    0.002 C:\Python311\Lib\site-packages\IPython\core\profiledir.py:56(_location_changed)
        3    0.000    0.000    0.002    0.001 C:\Python311\Lib\traceback.py:375(extract)
       56    0.001    0.000    0.002    0.000 C:\Users\Administrator\AppData\Roaming\Python\Python311\site-packages\traitlets\traitlets.py:1886(traits)
      128    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:169(__enter__)
       29    0.000    0.000    0.002    0.000 C:\Python311\Lib\site-packages\setuptools\_vendor\pyparsing\core.py:262(_trim_arity)
        3    0.000    0.000    0.002    0.001 C:\Python311\Lib\traceback.py:397(_extract_from_extended_frame_gen)
        6    0.000    0.000    0.002    0.000 C:\Users\Administrator\AppData\Roaming\Python\Python311\site-packages\dateutil\parser\_parser.py:666(_parse)
      129    0.000    0.000    0.002    0.000 C:\Python311\Lib\site-packages\setuptools\_vendor\pyparsing\core.py:3601(__init__)
       23    0.000    0.000    0.002    0.000 C:\Python311\Lib\typing.py:692(Optional)
3032/3022    0.001    0.000    0.002    0.000 {built-in method __new__ of type object at 0x00007FFF0BC38F90}
        1    0.001    0.001    0.002    0.002 c:\Users\Administrator\Desktop\Structural_simulator-master\lib\functions\PythonEditor.py:45(addDefineWidget)
     3386    0.001    0.000    0.002    0.000 {built-in method builtins.hasattr}
        2    0.000    0.000    0.002    0.001 C:\Python311\Lib\asyncio\proactor_events.py:627(__init__)
        2    0.000    0.000    0.002    0.001 C:\Users\Administrator\AppData\Roaming\Python\Python311\site-packages\jupyter_client\session.py:526(__init__)
        1    0.000    0.000    0.002    0.002 C:\Python311\Lib\unittest\main.py:1(<module>)
       15    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1655(_fill_cache)
      662    0.001    0.000    0.002    0.000 C:\Python311\Lib\genericpath.py:69(commonprefix)
        2    0.000    0.000    0.002    0.001 C:\Users\Administrator\AppData\Roaming\Python\Python311\site-packages\jupyter_client\session.py:909(recv)
        6    0.001    0.000    0.001    0.000 {method 'execute' of 'sqlite3.Connection' objects}
      163    0.000    0.000    0.001    0.000 C:\Python311\Lib\typing.py:1241(__init__)
        3    0.000    0.000    0.001    0.000 c:\Users\Administrator\Desktop\Structural_simulator-master\lib\functions\Resource.py:466(change_assetWidget)
        1    0.001    0.001    0.001    0.001 c:\Users\Administrator\Desktop\Structural_simulator-master\lib\functions\Viewer.py:716(makeSkybox)
      507    0.001    0.000    0.001    0.000 {built-in method builtins.all}
     3024    0.001    0.000    0.001    0.000 C:\Python311\Lib\site-packages\setuptools\_vendor\pyparsing\util.py:185(is_consecutive)
        1    0.001    0.001    0.001    0.001 c:\Users\Administrator\Desktop\Structural_simulator-master\lib\functions\Simulator.py:604(makeSkybox)
      102    0.001    0.000    0.001    0.000 {built-in method removeItem}
      134    0.001    0.000    0.001    0.000 C:\Python311\Lib\tokenize.py:299(detect_encoding)
        1    0.000    0.000    0.001    0.001 C:\Python311\Lib\site-packages\IPython\core\completer.py:1862(__init__)
        1    0.000    0.000    0.001    0.001 C:\Python311\Lib\site-packages\pkg_resources\_vendor\pyparsing\core.py:1076(parse_string)
        2    0.000    0.000    0.001    0.001 C:\Python311\Lib\site-packages\qtconsole\jupyter_widget.py:590(_syntax_style_changed)
        1    0.000    0.000    0.001    0.001 C:\Python311\Lib\site-packages\setuptools\_vendor\pyparsing\core.py:400(ParserElement)
        1    0.000    0.000    0.001    0.001 C:\Python311\Lib\site-packages\ipykernel\inprocess\socket.py:24(_context_default)
      115    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1599(_get_spec)
        1    0.000    0.000    0.001    0.001 C:\Python311\Lib\site-packages\IPython\core\completerlib.py:1(<module>)
        4    0.000    0.000    0.001    0.000 C:\Python311\Lib\site-packages\ipykernel\iostream.py:96(_event_pipe)
     39/1    0.001    0.000    0.001    0.001 C:\Python311\Lib\site-packages\pkg_resources\_vendor\pyparsing\core.py:776(_parseNoCache)
        1    0.001    0.001    0.001    0.001 C:\Users\Administrator\AppData\Roaming\Python\Python311\site-packages\zmq\sugar\context.py:101(__init__)
      332    0.001    0.000    0.001    0.000 {built-in method builtins.any}
        1    0.000    0.000    0.001    0.001 C:\Python311\Lib\site-packages\setuptools\extension.py:1(<module>)
     10/1    0.000    0.000    0.001    0.001 C:\Python311\Lib\site-packages\pkg_resources\_vendor\pyparsing\core.py:3861(parseImpl)
      784    0.001    0.000    0.001    0.000 {method 'GetProperty' of 'vtkmodules.vtkRenderingCore.vtkActor' objects}
        1    0.000    0.000    0.001    0.001 C:\Python311\Lib\unittest\result.py:1(<module>)
        1    0.001    0.001    0.001    0.001 c:\Users\Administrator\Desktop\Structural_simulator-master\lib\functions\Object.py:50(makeOptionWidget)
    42/38    0.000    0.000    0.001    0.000 C:\Python311\Lib\site-packages\setuptools\_vendor\pyparsing\core.py:3903(_generateDefaultName)
        1    0.001    0.001    0.001    0.001 c:\Users\Administrator\Desktop\Structural_simulator-master\main.py:387(PostValueToTerminal)
        3    0.000    0.000    0.001    0.000 C:\Python311\Lib\site-packages\qtconsole\pygments_highlighter.py:157(set_style)
     1693    0.001    0.000    0.001    0.000 C:\Users\Administrator\AppData\Roaming\Python\Python311\site-packages\traitlets\config\loader.py:218(_is_section_key)
        1    0.000    0.000    0.001    0.001 C:\Python311\Lib\site-packages\setuptools\_vendor\pyparsing\helpers.py:648(make_html_tags)
      235    0.001    0.000    0.001    0.000 C:\Python311\Lib\re\_compiler.py:214(_compile_charset)
      444    0.001    0.000    0.001    0.000 C:\Python311\Lib\copy.py:259(_reconstruct)
     2635    0.001    0.000    0.001    0.000 {built-in method builtins.max}
        1    0.000    0.000    0.001    0.001 C:\Python311\Lib\site-packages\setuptools\_vendor\pyparsing\helpers.py:590(_makeTags)
        2    0.000    0.000    0.001    0.001 C:\Python311\Lib\asyncio\proactor_events.py:778(_make_self_pipe)
       48    0.000    0.000    0.001    0.000 C:\Python311\Lib\site-packages\setuptools\_vendor\pyparsing\core.py:1526(__or__)
       25    0.000    0.000    0.001    0.000 C:\Python311\Lib\typing.py:1614(__getitem__)
       62    0.000    0.000    0.001    0.000 C:\Python311\Lib\traceback.py:316(line)
     3337    0.001    0.000    0.001    0.000 C:\Python311\Lib\re\_parser.py:170(append)
      230    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
      229    0.000    0.000    0.001    0.000 C:\Python311\Lib\typing.py:684(<genexpr>)
       45    0.000    0.000    0.001    0.000 C:\Python311\Lib\textwrap.py:341(_split_chunks)
        6    0.000    0.000    0.001    0.000 C:\Python311\Lib\linecache.py:26(getline)
      282    0.000    0.000    0.001    0.000 C:\Python311\Lib\inspect.py:2068(_signature_is_builtin)
        1    0.000    0.000    0.001    0.001 C:\Python311\Lib\site-packages\setuptools\depends.py:1(<module>)
        1    0.000    0.000    0.001    0.001 c:\Users\Administrator\Desktop\Structural_simulator-master\lib\Widgets\comboBox.py:16(__init__)
        1    0.000    0.000    0.001    0.001 c:\Users\Administrator\Desktop\Structural_simulator-master\lib\functions\Simulator.py:568(ChoosePickerInit)
      325    0.001    0.000    0.001    0.000 C:\Python311\Lib\site-packages\setuptools\_vendor\pyparsing\core.py:455(__init__)
      120    0.001    0.000    0.001    0.000 {method '__exit__' of '_io._IOBase' objects}
        6    0.000    0.000    0.001    0.000 C:\Python311\Lib\linecache.py:36(getlines)
       43    0.000    0.000    0.001    0.000 C:\Python311\Lib\site-packages\setuptools\_vendor\pyparsing\core.py:4147(_generateDefaultName)
        1    0.000    0.000    0.001    0.001 C:\Users\Administrator\AppData\Roaming\Python\Python311\site-packages\jupyter_client\session.py:578(clone)
      132    0.001    0.000    0.001    0.000 C:\Python311\Lib\inspect.py:2962(__init__)
       54    0.001    0.000    0.001    0.000 {built-in method nt.get_terminal_size}
        1    0.000    0.000    0.001    0.001 C:\Users\Administrator\AppData\Roaming\Python\Python311\site-packages\jupyter_client\localinterfaces.py:152(_load_ips_netifaces)
        1    0.000    0.000    0.001    0.001 c:\Users\Administrator\Desktop\Structural_simulator-master\lib\Widgets\comboBox.py:25(UiInit)
        1    0.000    0.000    0.001    0.001 C:\Users\Administrator\AppData\Roaming\Python\Python311\site-packages\tornado\gen.py:1(<module>)
        2    0.000    0.000    0.001    0.001 C:\Python311\Lib\linecache.py:80(updatecache)
        1    0.000    0.000    0.001    0.001 C:\Python311\Lib\asyncio\events.py:803(new_event_loop)
        1    0.000    0.000    0.001    0.001 C:\Python311\Lib\site-packages\ipykernel\inprocess\manager.py:35(_default_session)
       48    0.000    0.000    0.001    0.000 C:\Python311\Lib\site-packages\setuptools\_vendor\pyparsing\core.py:4084(__init__)
      521    0.000    0.000    0.001    0.000 {built-in method builtins.setattr}
        2    0.001    0.001    0.001    0.001 {method 'On' of 'vtkmodules.vtkRenderingCore.vtkInteractorObserver' objects}
       36    0.000    0.000    0.001    0.000 C:\Python311\Lib\typing.py:1585(__getitem__)
       54    0.000    0.000    0.001    0.000 c:\Users\Administrator\Desktop\Structural_simulator-master\lib\Widgets\flowWidgets.py:74(sizeHint)
       55    0.000    0.000    0.001    0.000 C:\Python311\Lib\re\_compiler.py:384(_mk_bitmap)
      174    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
        1    0.000    0.000    0.001    0.001 C:\Python311\Lib\site-packages\setuptools\_distutils\version.py:1(<module>)
        5    0.000    0.000    0.001    0.000 c:\Users\Administrator\Desktop\Structural_simulator-master\lib\Widgets\panel.py:102(toBig)
        6    0.001    0.000    0.001    0.000 {built-in method addPermanentWidget}
      115    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:778(spec_from_file_location)
        1    0.000    0.000    0.001    0.001 C:\Python311\Lib\site-packages\ipykernel\iostream.py:1(<module>)
        1    0.000    0.000    0.001    0.001 C:\Python311\Lib\site-packages\IPython\core\magics\osm.py:41(__init__)
        3    0.000    0.000    0.001    0.000 c:\Users\Administrator\Desktop\Structural_simulator-master\lib\functions\Resource.py:602(check_edittime_file)
  146/134    0.000    0.000    0.001    0.000 C:\Python311\Lib\site-packages\setuptools\_vendor\pyparsing\core.py:3904(<genexpr>)
        1    0.000    0.000    0.001    0.001 C:\Python311\Lib\site-packages\ipykernel\ipkernel.py:464(do_history)
      124    0.001    0.000    0.001    0.000 {addAction}
       45    0.000    0.000    0.001    0.000 C:\Python311\Lib\textwrap.py:157(_split)
      817    0.000    0.000    0.001    0.000 {built-in method builtins.next}
      231    0.000    0.000    0.001    0.000 C:\Python311\Lib\enum.py:1483(__and__)
        1    0.000    0.000    0.001    0.001 C:\Python311\Lib\site-packages\setuptools\_vendor\more_itertools\more.py:1(<module>)
        1    0.000    0.000    0.001    0.001 C:\Python311\Lib\unittest\mock.py:1(<module>)
        1    0.000    0.000    0.001    0.001 C:\Python311\Lib\site-packages\setuptools\_distutils\fancy_getopt.py:1(<module>)
        9    0.000    0.000    0.001    0.000 c:\Users\Administrator\Desktop\Structural_simulator-master\lib\Widgets\flowWidgets.py:70(setGeometry)
       38    0.000    0.000    0.001    0.000 C:\Users\Administrator\AppData\Roaming\Python\Python311\site-packages\jupyter_client\session.py:92(json_packer)
        8    0.000    0.000    0.001    0.000 C:\Users\Administrator\AppData\Roaming\Python\Python311\site-packages\jupyter_client\session.py:688(serialize)
      158    0.000    0.000    0.001    0.000 C:\Python311\Lib\inspect.py:518(isroutine)
        1    0.000    0.000    0.001    0.001 C:\Python311\Lib\site-packages\IPython\core\interactiveshell.py:1893(init_traceback_handlers)
      305    0.001    0.000    0.001    0.000 C:\Python311\Lib\inspect.py:310(ismethoddescriptor)
      895    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:119(<listcomp>)
        1    0.000    0.000    0.001    0.001 C:\Python311\Lib\site-packages\setuptools\command\__init__.py:1(<module>)
     1694    0.001    0.000    0.001    0.000 C:\Users\Administrator\AppData\Roaming\Python\Python311\site-packages\traitlets\config\loader.py:297(__contains__)
        2    0.001    0.000    0.001    0.000 C:\Python311\Lib\site-packages\pygments\style.py:60(__new__)
       72    0.000    0.000    0.001    0.000 C:\Python311\Lib\abc.py:105(__new__)
        1    0.000    0.000    0.001    0.001 C:\Python311\Lib\site-packages\setuptools\_distutils\__init__.py:1(<module>)
        8    0.000    0.000    0.001    0.000 C:\Python311\Lib\site-packages\IPython\core\profiledir.py:72(_mkdir)
        1    0.000    0.000    0.001    0.001 C:\Python311\Lib\site-packages\IPython\core\history.py:646(get_tail)
        1    0.000    0.000    0.001    0.001 C:\Python311\Lib\unittest\runner.py:1(<module>)
      307    0.000    0.000    0.001    0.000 C:\Python311\Lib\site-packages\setuptools\_vendor\pyparsing\core.py:4148(<genexpr>)
       19    0.000    0.000    0.001    0.000 C:\Python311\Lib\typing.py:1599(__getitem_inner__)
        1    0.000    0.000    0.001    0.001 C:\Python311\Lib\site-packages\ipykernel\jsonutil.py:1(<module>)
        1    0.000    0.000    0.001    0.001 C:\Python311\Lib\site-packages\IPython\core\history.py:237(init_db)
        2    0.000    0.000    0.001    0.000 c:\Users\Administrator\Desktop\Structural_simulator-master\lib\Widgets\Editor.py:212(setTheme)
       38    0.000    0.000    0.001    0.000 C:\Python311\Lib\json\__init__.py:183(dumps)
     5883    0.001    0.000    0.001    0.000 {method 'startswith' of 'str' objects}
       55    0.001    0.000    0.001    0.000 C:\Python311\Lib\re\_compiler.py:386(<listcomp>)
        1    0.000    0.000    0.001    0.001 C:\Python311\Lib\site-packages\setuptools\_distutils\spawn.py:1(<module>)
        2    0.000    0.000    0.001    0.000 C:\Python311\Lib\site-packages\IPython\utils\path.py:156(get_home_dir)
        1    0.000    0.000    0.001    0.001 C:\Python311\Lib\site-packages\qtconsole\util.py:84(get_font)
      204    0.000    0.000    0.001    0.000 C:\Python311\Lib\os.py:673(__getitem__)
       15    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1696(path_hook_for_FileFinder)
     10/3    0.000    0.000    0.001    0.000 C:\Python311\Lib\site-packages\setuptools\_vendor\pyparsing\unicode.py:14(__get__)
        2    0.001    0.000    0.001    0.000 C:\Python311\Lib\site-packages\ipykernel\kernelbase.py:371(pre_handler_hook)
     2468    0.001    0.000    0.001    0.000 C:\Python311\Lib\re\_parser.py:158(__len__)
        1    0.001    0.001    0.001    0.001 C:\Python311\Lib\site-packages\setuptools\_vendor\pyparsing\helpers.py:692(<dictcomp>)
       11    0.001    0.000    0.001    0.000 {built-in method addWidget}
     1319    0.001    0.000    0.001    0.000 C:\Python311\Lib\typing.py:1229(_is_dunder)
      3/2    0.000    0.000    0.001    0.000 C:\Python311\Lib\site-packages\pkg_resources\_vendor\pyparsing\core.py:4108(parseImpl)
        3    0.001    0.000    0.001    0.000 {built-in method insertWidget}
       12    0.000    0.000    0.001    0.000 c:\Users\Administrator\Desktop\Structural_simulator-master\lib\Widgets\dockWidget.py:110(MakeSettingFunction)
        2    0.000    0.000    0.001    0.000 C:\Python311\Lib\site-packages\IPython\core\ultratb.py:328(__init__)
        6    0.001    0.000    0.001    0.000 {built-in method addTab}
       15    0.000    0.000    0.001    0.000 <frozen zipimport>:64(__init__)
        1    0.000    0.000    0.001    0.001 C:\Python311\Lib\site-packages\ipykernel\debugger.py:1(<module>)
        6    0.000    0.000    0.001    0.000 C:\Users\Administrator\AppData\Roaming\Python\Python311\site-packages\dateutil\parser\_parser.py:199(split)
        1    0.000    0.000    0.001    0.001 C:\Python311\Lib\site-packages\setuptools\_vendor\packaging\__init__.py:1(<module>)
       77    0.000    0.000    0.001    0.000 C:\Python311\Lib\site-packages\setuptools\_vendor\pyparsing\core.py:4349(__init__)
        1    0.001    0.001    0.001    0.001 {built-in method family}
     1153    0.001    0.000    0.001    0.000 {built-in method widget}
      169    0.000    0.000    0.001    0.000 C:\Python311\Lib\typing.py:245(_collect_parameters)
        1    0.000    0.000    0.001    0.001 C:\Python311\Lib\site-packages\setuptools\monkey.py:1(<module>)
        1    0.000    0.000    0.001    0.001 C:\Python311\Lib\site-packages\qtconsole\console_widget.py:781(_set_font)
        1    0.000    0.000    0.001    0.001 C:\Python311\Lib\site-packages\setuptools\_distutils\version.py:113(StrictVersion)
    11025    0.001    0.000    0.001    0.000 {built-in method builtins.ord}
        2    0.000    0.000    0.001    0.000 {built-in method _asyncio.get_event_loop}
      366    0.000    0.000    0.001    0.000 C:\Python311\Lib\mimetypes.py:249(<lambda>)
        2    0.000    0.000    0.001    0.000 C:\Python311\Lib\site-packages\qtconsole\console_widget.py:772(_get_font_width)
      136    0.001    0.000    0.001    0.000 C:\Python311\Lib\tokenize.py:329(find_cookie)
        1    0.000    0.000    0.001    0.001 C:\Python311\Lib\site-packages\IPython\core\interactiveshell.py:2731(init_alias)
       68    0.000    0.000    0.001    0.000 C:\Python311\Lib\site-packages\setuptools\_vendor\pyparsing\core.py:2315(__init__)
       23    0.001    0.000    0.001    0.000 {built-in method builtins.dir}
      651    0.001    0.000    0.001    0.000 {built-in method setObjectName}
        2    0.000    0.000    0.001    0.000 C:\Python311\Lib\asyncio\events.py:666(get_event_loop)
       78    0.000    0.000    0.001    0.000 C:\Users\Administrator\AppData\Roaming\Python\Python311\site-packages\dateutil\parser\_parser.py:189(__next__)
     2487    0.001    0.000    0.001    0.000 {built-in method sizeHint}
        1    0.000    0.000    0.001    0.001 C:\Python311\Lib\site-packages\setuptools\_entry_points.py:1(<module>)
     5830    0.001    0.000    0.001    0.000 {built-in method builtins.issubclass}
      157    0.000    0.000    0.001    0.000 C:\Users\Administrator\AppData\Roaming\Python\Python311\site-packages\traitlets\traitlets.py:1628(observe)
        2    0.001    0.000    0.001    0.000 {built-in method horizontalAdvance}
        3    0.001    0.000    0.001    0.000 {method 'readlines' of '_io._IOBase' objects}
        1    0.000    0.000    0.001    0.001 C:\Python311\Lib\site-packages\IPython\core\profiledir.py:131(check_dirs)
        4    0.000    0.000    0.001    0.000 C:\Python311\Lib\typing.py:2817(__new__)
       27    0.000    0.000    0.001    0.000 C:\Python311\Lib\argparse.py:1330(__init__)
        6    0.001    0.000    0.001    0.000 {built-in method setClearButtonEnabled}
        3    0.001    0.000    0.001    0.000 {method 'connect' of '_socket.socket' objects}
        2    0.000    0.000    0.001    0.000 C:\Python311\Lib\ntpath.py:678(realpath)
        1    0.000    0.000    0.001    0.001 C:\Python311\Lib\site-packages\pygments\formatters\html.py:485(_create_stylesheet)
       45    0.001    0.000    0.001    0.000 {method 'split' of 're.Pattern' objects}
        1    0.000    0.000    0.001    0.001 C:\Python311\Lib\site-packages\setuptools\_vendor\pyparsing\unicode.py:80(alphanums)
        1    0.000    0.000    0.001    0.001 C:\Python311\Lib\site-packages\IPython\core\alias.py:198(__init__)
        2    0.000    0.000    0.001    0.000 c:\Users\Administrator\Desktop\Structural_simulator-master\lib\Widgets\flowWidgets.py:448(__init__)
        1    0.000    0.000    0.001    0.001 C:\Python311\Lib\site-packages\qtconsole\kernel_mixins.py:39(__init__)
        2    0.000    0.000    0.001    0.000 C:\Python311\Lib\site-packages\qtconsole\jupyter_widget.py:579(_style_sheet_changed)
        1    0.000    0.000    0.001    0.001 C:\Users\Administrator\AppData\Roaming\Python\Python311\site-packages\tornado\platform\asyncio.py:1(<module>)
        9    0.000    0.000    0.001    0.000 C:\Python311\Lib\argparse.py:297(_format_usage)
        6    0.000    0.000    0.001    0.000 C:\Python311\Lib\collections\__init__.py:348(namedtuple)
      273    0.001    0.000    0.001    0.000 C:\Python311\Lib\site-packages\pygments\regexopt.py:66(<listcomp>)
        1    0.000    0.000    0.001    0.001 C:\Python311\Lib\site-packages\IPython\core\interactiveshell.py:755(init_pushd_popd_magic)
     3857    0.001    0.000    0.001    0.000 {built-in method builtins.min}
      383    0.000    0.000    0.001    0.000 C:\Python311\Lib\re\_parser.py:166(__setitem__)
        1    0.000    0.000    0.001    0.001 C:\Python311\Lib\site-packages\IPython\core\interactiveshell.py:688(init_ipython_dir)
        1    0.001    0.001    0.001    0.001 {built-in method menuBar}
       87    0.000    0.000    0.001    0.000 C:\Python311\Lib\urllib\parse.py:1033(_splittype)
        1    0.000    0.000    0.001    0.001 C:\Python311\Lib\site-packages\IPython\core\interactiveshell.py:823(init_displayhook)
     3297    0.001    0.000    0.001    0.000 C:\Python311\Lib\site-packages\pygments\regexopt.py:78(<lambda>)
       18    0.000    0.000    0.001    0.000 C:\Python311\Lib\argparse.py:1463(add_argument_group)
      524    0.000    0.000    0.001    0.000 C:\Python311\Lib\mimetypes.py:86(add_type)
